relative_path,consumer_evidence,consumers,conditions,flags,evidence_note
items/npcCrystal.png,static-extracted,ItemNpcInterface|npcCrystal|CustomItems.java:723|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcCursedTrident.png,static-extracted,ItemSpear|npcCursedTrident|CustomItems.java:403|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDarkSpell.png,static-extracted,ItemNpcInterface|npcDarkSpell|CustomItems.java:419|extra-items-enabled,extra-items-enabled,animated-strip;manual-review,literal customnpcs texture registration in a parsed Java statement
items/npcDarkSpell.png.mcmeta,not-applicable-sidecar,,,animated-strip;manual-review,animation metadata is outside the static item audit
items/npcDemonicBattleAxe.png,static-extracted,ItemBattleAxe|npcDemonicBattleAxe|CustomItems.java:520|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicBoots.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicBroadsword.png,static-extracted,ItemBroadSword|npcDemonicBroadsword|CustomItems.java:612|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicChest.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicDagger.png,static-extracted,ItemDagger|npcDemonicDagger|CustomItems.java:562|extra-items-enabled;ItemDaggerReversed|npcDemonicReversedDagger|CustomItems.java:563|extra-items-enabled,extra-items-enabled,icon-override;shared-icon,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicGlaive.png,static-extracted,ItemGlaive|npcDemonicGlaive|CustomItems.java:602|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicHalberd.png,static-extracted,ItemSpear|npcDemonicHalberd|CustomItems.java:509|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicHead.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicIngot.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicIngotnew.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicLegs.png,none-extracted,,,,no consumer matched the controlled static registration pattern
items/npcDemonicMace.png,static-extracted,ItemNpcWeaponInterface|npcDemonicMace|CustomItems.java:542|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicScythe.png,static-extracted,ItemScythe|npcDemonicScythe|CustomItems.java:591|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicShield.png,static-extracted,ItemRotatedShield|npcDemonicShield|CustomItems.java:473|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicSkirt.png,static-extracted,ItemSkirt|npcDemonicSkirt|CustomItems.java:715|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicSpear.png,static-extracted,ItemSpear|npcDemonicSpear|CustomItems.java:498|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicStaff.png,static-extracted,ItemStaff|npcDemonicStaff|CustomItems.java:580|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicSword.png,static-extracted,ItemNpcWeaponInterface|npcDemonicSword|CustomItems.java:410|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicTrident.png,static-extracted,ItemSpear|npcDemonicTrident|CustomItems.java:406|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDemonicWarhammer.png,static-extracted,ItemWarhammer|npcDemonicWarhammer|CustomItems.java:531|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondBattleAxe.png,static-extracted,ItemBattleAxe|npcDiamondBattleAxe|CustomItems.java:515|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondBroadsword.png,static-extracted,ItemBroadSword|npcDiamondBroadsword|CustomItems.java:608|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
items/npcDiamondBullet.png,static-extracted,ItemBullet|npcDiamondBullet|CustomItems.java:379|extra-items-enabled,extra-items-enabled,,literal customnpcs texture registration in a parsed Java statement
